Date,Gantry,Filter1,Filter2,Filter3,TrafficVolume,Gantry-Lat,Gantry-Lon
1/1/2019,WebbLynnRd,SH360,TotalTxns,New_Yr,3852,32.646809,-97.062327
1/2/2019,WebbLynnRd,SH360,TotalTxns,Wkday,5181,32.646809,-97.062327
1/3/2019,WebbLynnRd,SH360,TotalTxns,Wkday,5765,32.646809,-97.062327
1/4/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6570,32.646809,-97.062327
1/5/2019,WebbLynnRd,SH360,TotalTxns,Wknd,5853,32.646809,-97.062327
1/6/2019,WebbLynnRd,SH360,TotalTxns,Wknd,4905,32.646809,-97.062327
1/7/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6418,32.646809,-97.062327
1/8/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6735,32.646809,-97.062327
1/9/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6893,32.646809,-97.062327
1/10/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6918,32.646809,-97.062327
1/11/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6770,32.646809,-97.062327
1/12/2019,WebbLynnRd,SH360,TotalTxns,Wknd,5905,32.646809,-97.062327
1/13/2019,WebbLynnRd,SH360,TotalTxns,Wknd,4789,32.646809,-97.062327
1/14/2019,WebbLynnRd,SH360,TotalTxns,Wkday,6921,32.646809,-97.062327
1/1/2019,NewYorkMLG,SH360,TotalTxns,New_Yr,18974,32.626946,-97.069354
1/2/2019,NewYorkMLG,SH360,TotalTxns,Wkday,28549,32.626946,-97.069354
1/3/2019,NewYorkMLG,SH360,TotalTxns,Wkday,32136,32.626946,-97.069354
1/4/2019,NewYorkMLG,SH360,TotalTxns,Wkday,38845,32.626946,-97.069354
1/5/2019,NewYorkMLG,SH360,TotalTxns,Wknd,32128,32.626946,-97.069354
1/6/2019,NewYorkMLG,SH360,TotalTxns,Wknd,24146,32.626946,-97.069354
1/7/2019,NewYorkMLG,SH360,TotalTxns,Wkday,35650,32.626946,-97.069354
1/8/2019,NewYorkMLG,SH360,TotalTxns,Wkday,36889,32.626946,-97.069354
1/9/2019,NewYorkMLG,SH360,TotalTxns,Wkday,37633,32.626946,-97.069354
1/10/2019,NewYorkMLG,SH360,TotalTxns,Wkday,38659,32.626946,-97.069354
1/11/2019,NewYorkMLG,SH360,TotalTxns,Wkday,38458,32.626946,-97.069354
1/12/2019,NewYorkMLG,SH360,TotalTxns,Wknd,29846,32.626946,-97.069354
1/13/2019,NewYorkMLG,SH360,TotalTxns,Wknd,22316,32.626946,-97.069354
1/14/2019,NewYorkMLG,SH360,TotalTxns,Wkday,35702,32.626946,-97.069354
1/1/2019,NewYorkAve,SH360,TotalTxns,New_Yr,503,32.613402,-97.076674
1/2/2019,NewYorkAve,SH360,TotalTxns,Wkday,542,32.613402,-97.076674
1/3/2019,NewYorkAve,SH360,TotalTxns,Wkday,596,32.613402,-97.076674
1/4/2019,NewYorkAve,SH360,TotalTxns,Wkday,866,32.613402,-97.076674
1/5/2019,NewYorkAve,SH360,TotalTxns,Wknd,732,32.613402,-97.076674
1/6/2019,NewYorkAve,SH360,TotalTxns,Wknd,649,32.613402,-97.076674
1/7/2019,NewYorkAve,SH360,TotalTxns,Wkday,912,32.613402,-97.076674
1/8/2019,NewYorkAve,SH360,TotalTxns,Wkday,991,32.613402,-97.076674
1/9/2019,NewYorkAve,SH360,TotalTxns,Wkday,994,32.613402,-97.076674
1/10/2019,NewYorkAve,SH360,TotalTxns,Wkday,1048,32.613402,-97.076674
1/11/2019,NewYorkAve,SH360,TotalTxns,Wkday,1025,32.613402,-97.076674
1/12/2019,NewYorkAve,SH360,TotalTxns,Wknd,715,32.613402,-97.076674
1/13/2019,NewYorkAve,SH360,TotalTxns,Wknd,597,32.613402,-97.076674
1/14/2019,NewYorkAve,SH360,TotalTxns,Wkday,1041,32.613402,-97.076674
1/1/2019,DebbieLn,SH360,TotalTxns,New_Yr,459,32.593099,-97.0778
1/2/2019,DebbieLn,SH360,TotalTxns,Wkday,573,32.593099,-97.0778
1/3/2019,DebbieLn,SH360,TotalTxns,Wkday,561,32.593099,-97.0778
1/4/2019,DebbieLn,SH360,TotalTxns,Wkday,770,32.593099,-97.0778
1/5/2019,DebbieLn,SH360,TotalTxns,Wknd,698,32.593099,-97.0778
1/6/2019,DebbieLn,SH360,TotalTxns,Wknd,694,32.593099,-97.0778
1/7/2019,DebbieLn,SH360,TotalTxns,Wkday,853,32.593099,-97.0778
1/8/2019,DebbieLn,SH360,TotalTxns,Wkday,829,32.593099,-97.0778
1/9/2019,DebbieLn,SH360,TotalTxns,Wkday,774,32.593099,-97.0778
1/10/2019,DebbieLn,SH360,TotalTxns,Wkday,840,32.593099,-97.0778
1/11/2019,DebbieLn,SH360,TotalTxns,Wkday,827,32.593099,-97.0778
1/12/2019,DebbieLn,SH360,TotalTxns,Wknd,745,32.593099,-97.0778
1/13/2019,DebbieLn,SH360,TotalTxns,Wknd,603,32.593099,-97.0778
1/14/2019,DebbieLn,SH360,TotalTxns,Wkday,696,32.593099,-97.0778
1/1/2019,LoneStarMLG,SH360,TotalTxns,New_Yr,5019,32.552079,-97.08569
1/2/2019,LoneStarMLG,SH360,TotalTxns,Wkday,7687,32.552079,-97.08569
1/3/2019,LoneStarMLG,SH360,TotalTxns,Wkday,8588,32.552079,-97.08569
1/4/2019,LoneStarMLG,SH360,TotalTxns,Wkday,10853,32.552079,-97.08569
1/5/2019,LoneStarMLG,SH360,TotalTxns,Wknd,8851,32.552079,-97.08569
1/6/2019,LoneStarMLG,SH360,TotalTxns,Wknd,6516,32.552079,-97.08569
1/7/2019,LoneStarMLG,SH360,TotalTxns,Wkday,9860,32.552079,-97.08569
1/8/2019,LoneStarMLG,SH360,TotalTxns,Wkday,10505,32.552079,-97.08569
1/9/2019,LoneStarMLG,SH360,TotalTxns,Wkday,10235,32.552079,-97.08569
1/10/2019,LoneStarMLG,SH360,TotalTxns,Wkday,10859,32.552079,-97.08569
1/11/2019,LoneStarMLG,SH360,TotalTxns,Wkday,10585,32.552079,-97.08569
1/12/2019,LoneStarMLG,SH360,TotalTxns,Wknd,7916,32.552079,-97.08569
1/13/2019,LoneStarMLG,SH360,TotalTxns,Wknd,5648,32.552079,-97.08569
1/14/2019,LoneStarMLG,SH360,TotalTxns,Wkday,9842,32.552079,-97.08569
1/1/2019,WebbLynnRd,SH360,AVITxns,New_Yr,2288,32.646809,-97.062327
1/2/2019,WebbLynnRd,SH360,AVITxns,Wkday,3386,32.646809,-97.062327
1/3/2019,WebbLynnRd,SH360,AVITxns,Wkday,3753,32.646809,-97.062327
1/4/2019,WebbLynnRd,SH360,AVITxns,Wkday,4332,32.646809,-97.062327
1/5/2019,WebbLynnRd,SH360,AVITxns,Wknd,3636,32.646809,-97.062327
1/6/2019,WebbLynnRd,SH360,AVITxns,Wknd,3035,32.646809,-97.062327
1/7/2019,WebbLynnRd,SH360,AVITxns,Wkday,4279,32.646809,-97.062327
1/8/2019,WebbLynnRd,SH360,AVITxns,Wkday,4341,32.646809,-97.062327
1/9/2019,WebbLynnRd,SH360,AVITxns,Wkday,4576,32.646809,-97.062327
1/10/2019,WebbLynnRd,SH360,AVITxns,Wkday,4268,32.646809,-97.062327
1/11/2019,WebbLynnRd,SH360,AVITxns,Wkday,4472,32.646809,-97.062327
1/12/2019,WebbLynnRd,SH360,AVITxns,Wknd,3671,32.646809,-97.062327
1/13/2019,WebbLynnRd,SH360,AVITxns,Wknd,3068,32.646809,-97.062327
1/14/2019,WebbLynnRd,SH360,AVITxns,Wkday,4462,32.646809,-97.062327
1/1/2019,NewYorkMLG,SH360,AVITxns,New_Yr,10209,32.626946,-97.069354
1/2/2019,NewYorkMLG,SH360,AVITxns,Wkday,17089,32.626946,-97.069354
1/3/2019,NewYorkMLG,SH360,AVITxns,Wkday,19199,32.626946,-97.069354
1/4/2019,NewYorkMLG,SH360,AVITxns,Wkday,22851,32.626946,-97.069354
1/5/2019,NewYorkMLG,SH360,AVITxns,Wknd,17413,32.626946,-97.069354
